Name,Age,Sex
"Braund, Mr. Owen Harris",22.0,male
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",38.0,female
"Heikkinen, Miss. Laina",26.0,
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",35.0,female
"Allen, Mr. William Henry",35.0,male
"Moran, Mr. James",,male
"McCarthy, Mr. Timothy J",54.0,male
"Palsson, Master. Gosta Leonard",2.0,male
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",27.0,female
"Nasser, Mrs. Nicholas (Adele Achem)",14.0,
"Sandstrom, Miss. Marguerite Rut",4.0,female
"Bonnell, Miss. Elizabeth",58.0,female
"Saundercock, Mr. William Henry",20.0,male
"Andersson, Mr. Anders Johan",39.0,male
"Vestrom, Miss. Hulda Amanda Adolfina",14.0,female
"Hewlett, Mrs. (Mary D Kingcome) ",55.0,female
"Rice, Master. Eugene",2.0,male
"Williams, Mr. Charles Eugene",,male
"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",31.0,female
"Masselmani, Mrs. Fatima",,female
"Fynney, Mr. Joseph J",35.0,male
"Beesley, Mr. Lawrence",34.0,male
"McGowan, Miss. Anna ""Annie""",15.0,
"Sloper, Mr. William Thompson",28.0,male
"Palsson, Miss. Torborg Danira",8.0,female
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",38.0,female
"Emir, Mr. Farred Chehab",,male
"Fortune, Mr. Charles Alexander",19.0,male
"O'Dwyer, Miss. Ellen ""Nellie""",,female
"Todoroff, Mr. Lalio",,male
"Uruchurtu, Don. Manuel E",40.0,male
"Spencer, Mrs. William Augustus (Marie Eugenie)",,female
"Glynn, Miss. Mary Agatha",,female
"Wheadon, Mr. Edward H",66.0,male
"Meyer, Mr. Edgar Joseph",28.0,male
"Holverson, Mr. Alexander Oskar",42.0,male
"Mamee, Mr. Hanna",,male
"Cann, Mr. Ernest Charles",21.0,male
"Vander Planke, Miss. Augusta Maria",18.0,female
"Nicola-Yarred, Miss. Jamila",14.0,female
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",40.0,female
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",27.0,female
"Kraeff, Mr. Theodor",,male
"Laroche, Miss. Simonne Marie Anne Andree",3.0,female
"Devaney, Miss. Margaret Delia",19.0,female
"Rogers, Mr. William John",,male
"Lennon, Mr. Denis",,male
"O'Driscoll, Miss. Bridget",,female
"Samaan, Mr. Youssef",,male
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",18.0,female
"Panula, Master. Juha Niilo",7.0,male
"Nosworthy, Mr. Richard Cater",21.0,male
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",49.0,female
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",29.0,female
"Ostby, Mr. Engelhart Cornelius",65.0,male
"Woolner, Mr. Hugh",,male
"Rugg, Miss. Emily",21.0,female
"Novel, Mr. Mansouer",28.5,male
"West, Miss. Constance Mirium",5.0,female
"Goodwin, Master. William Frederick",11.0,male
"Sirayanian, Mr. Orsen",22.0,male
"Icard, Miss. Amelie",38.0,female
"Harris, Mr. Henry Birkhardt",45.0,male
"Skoog, Master. Harald",4.0,male
"Stewart, Mr. Albert A",,male
"Moubarek, Master. Gerios",,male
"Nye, Mrs. (Elizabeth Ramell)",29.0,female
"Crease, Mr. Ernest James",19.0,male
"Andersson, Miss. Erna Alexandra",17.0,female
"Kink, Mr. Vincenz",26.0,male
"Jenkin, Mr. Stephen Curnow",32.0,male
"Goodwin, Miss. Lillian Amy",16.0,female
"Hood, Mr. Ambrose Jr",21.0,male
"Chronopoulos, Mr. Apostolos",26.0,male
"Bing, Mr. Lee",32.0,male
"Moen, Mr. Sigurd Hansen",25.0,male
"Staneff, Mr. Ivan",,male
"Moutal, Mr. Rahamin Haim",,male
"Caldwell, Master. Alden Gates",0.83,male
"Dowdell, Miss. Elizabeth",30.0,female
"Waelens, Mr. Achille",22.0,male
"Sheerlinck, Mr. Jan Baptist",29.0,
"McDermott, Miss. Brigdet Delia",,female
"Carrau, Mr. Francisco M",28.0,male
"Ilett, Miss. Bertha",17.0,female
"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",33.0,female
"Ford, Mr. William Neal",16.0,male
"Slocovski, Mr. Selman Francis",,male
"Fortune, Miss. Mabel Helen",23.0,female
"Celotti, Mr. Francesco",24.0,male
"Christmann, Mr. Emil",29.0,male
"Andreasson, Mr. Paul Edvin",20.0,male
"Chaffee, Mr. Herbert Fuller",46.0,male
"Dean, Mr. Bertram Frank",26.0,male
"Coxon, Mr. Daniel",59.0,male
"Shorney, Mr. Charles Joseph",,male
"Goldschmidt, Mr. George B",71.0,male
"Greenfield, Mr. William Bertram",23.0,male
"Doling, Mrs. John T (Ada Julia Bone)",34.0,female
"Kantor, Mr. Sinai",34.0,male
"Petranec, Miss. Matilda",28.0,female
"Petroff, Mr. Pastcho (""Pentcho"")",,male
"White, Mr. Richard Frasar",21.0,male
"Johansson, Mr. Gustaf Joel",33.0,male
"Gustafsson, Mr. Anders Vilhelm",37.0,male
"Mionoff, Mr. Stoytcho",28.0,male
"Salkjelsvik, Miss. Anna Kristine",21.0,female
"Moss, Mr. Albert Johan",,male
"Rekic, Mr. Tido",38.0,male
"Moran, Miss. Bertha",,female
"Porter, Mr. Walter Chamberlain",47.0,male
"Zabour, Miss. Hileni",14.5,female
"Barton, Mr. David John",22.0,male
"Jussila, Miss. Katriina",20.0,female
"Attalah, Miss. Malake",17.0,female
"Pekoniemi, Mr. Edvard",21.0,male
"Connors, Mr. Patrick",70.5,male
"Turpin, Mr. William John Robert",29.0,male
"Baxter, Mr. Quigg Edmond",24.0,male
"Andersson, Miss. Ellis Anna Maria",2.0,female
"Hickman, Mr. Stanley George",21.0,male
"Moore, Mr. Leonard Charles",,male
"Nasser, Mr. Nicholas",32.5,male
"Webber, Miss. Susan",32.5,female
"White, Mr. Percival Wayland",54.0,
"Nicola-Yarred, Master. Elias",12.0,male
"McMahon, Mr. Martin",,male
"Madsen, Mr. Fridtjof Arne",24.0,male
"Peter, Miss. Anna",,female
"Ekstrom, Mr. Johan",45.0,male
"Drazenoic, Mr. Jozef",33.0,male
"Coelho, Mr. Domingos Fernandeo",20.0,male
"Robins, Mrs. Alexander A (Grace Charity Laury)",47.0,female
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29.0,female
"Sobey, Mr. Samuel James Hayden",25.0,male
"Richard, Mr. Emile",23.0,male
